10000 50000 zmlt
91243 o D 1
21773 pqz B 1
53258 nniw D 1
78829 mt B 1
91444 n C 1
2128 x A 1
20793 fd B 1
19854 aql D 1
74601 xcm B 1
51389 hxqr A 1
26222 gle D 1
79615 n B 1
48151 ceo A 1
3226 fi D 1
81344 fc A 1
98454 d D 1
68876 qflp D 1
14487 mp A 1
79087 zgof C 1
57161 uryi D 1
95030 iib D 1
4712 nood A 1
38969 de C 1
91752 orv C 1
1441 ei B 1
98462 j D 1
11739 cizn A 1
90989 npt B 1
10847 gfr B 1
42479 hx D 1
32454 jj D 1
32087 cwxu B 1
87335 cmj C 1
78558 r D 1
95964 p C 1
60189 rxh B 1
27678 rnd D 1
77618 sczs C 1
5952 ivk B 1
26182 y B 1
20945 ujbt D 1
55452 ok B 1
86202 xkc D 1
74441 erv B 1
40864 deob A 1
57766 ct B 1
7382 nun C 1
94201 qwr B 1
86711 iq C 1
61226 y A 1
70774 yom D 1
98200 dqyf C 1
86129 qmlz C 1
41434 zg D 1
84968 pbd C 1
13735 smqu D 1
18139 zhiw B 1
90179 ty B 1
29228 ii B 1
46552 aedo A 1
31519 hq A 1
58382 fwch D 1
84538 juna D 1
99218 uzq A 1
38678 u A 1
70569 e C 1
14914 kr A 1
30121 bo B 1
28544 m C 1
38435 s C 1
86907 oall C 1
47540 y D 1
17023 rxv B 1
62489 mrxw C 1
20278 tkp A 1
42235 foe D 1
98442 tcmd A 1
72829 ly D 1
24203 ao D 1
44426 zxy A 1
7050 su B 1
22071 mm C 1
92825 mkn C 1
6593 zfvg D 1
49151 w B 1
38690 tbvv D 1
77499 qwes B 1
12114 njs C 1
25188 nrha C 1
18954 ya A 1
73224 o D 1
21493 b D 1
36733 cuhl D 1
87042 zol A 1
89840 w A 1
85329 wm C 1
71189 rk D 1
79915 sag B 1
38332 ua B 1
23841 nt A 1
2050 eunq C 1
1068 lil C 1
15081 m A 1
62962 xejb C 1
56057 e B 1
46036 ti B 1
35751 qd C 1
7187 zjva A 1
49420 ijlj C 1
22303 bop D 1
4638 c B 1
17312 faqj C 1
87414 czbv D 1
91307 ha A 1
75010 kxxe A 1
71209 zt A 1
14206 mn C 1
74058 c A 1
72393 tjf D 1
17264 tqgy B 1
25666 c B 1
29381 sv D 1
84709 c D 1
58109 xz B 1
83504 vzy C 1
61800 crzb A 1
76252 hotl C 1
79458 pjdy D 1
12015 bko B 1
49724 mfwj A 1
76334 p A 1
96561 vnh C 1
5395 qdb B 1
96155 nak D 1
98310 fbp B 1
47107 wkrl B 1
84280 n A 1
35754 r A 1
13634 ig D 1
24519 bwxj D 1
33176 oamh D 1
2817 da B 1
78367 tcq D 1
24727 ks A 1
70313 ihq D 1
6408 ks D 1
16385 scbg A 1
82852 vq B 1
27848 msq D 1
3603 bg B 1
67120 w A 1
3976 csxd A 1
60643 hd D 1
20211 mmdu D 1
90735 za B 1
10908 fgtf B 1
68006 gvdf C 1
71083 zh A 1
59962 ccpw C 1
36657 m D 1
43862 zvmc D 1
44792 thf C 1
8362 asw A 1
27325 ni B 1
50158 ay A 1
18947 gq C 1
33284 g A 1
47768 ro C 1
20497 kf B 1
91572 purt A 1
74192 cpy C 1
89976 k D 1
78247 e D 1
5825 ioh A 1
96581 j C 1
52323 d B 1
57773 d A 1
76951 vz D 1
64099 sena A 1
75114 dk B 1
44897 ilt A 1
7123 zl D 1
51067 cku A 1
56206 qu A 1
86218 kvei A 1
84742 mj D 1
46401 math C 1
94936 jaee B 1
77338 zzh A 1
89243 zciu A 1
27890 rcy D 1
77163 ulca B 1
72753 mo B 1
60538 uk B 1
15074 tixg D 1
42553 v D 1
20637 fct C 1
73491 l A 1
6338 tpd A 1
58681 ooik A 1
81114 zr D 1
83341 voak B 1
25095 yvix A 1
52553 vmt B 1
99851 zeg A 1
95002 vayu B 1
85390 lwv B 1
84877 lx A 1
45728 i C 1
42747 yjf C 1
24302 sccy B 1
43758 bqkd C 1
44272 pel C 1
25498 tlkd C 1
79612 uz D 1
91247 hg D 1
60363 lk A 1
48049 v D 1
66897 jek C 1
8194 vsg C 1
34717 dt D 1
5794 mwfb C 1
5636 c C 1
12522 vzrr C 1
37170 d B 1
64658 pfnk A 1
7552 x A 1
74815 sad C 1
27654 or D 1
77257 wen D 1
38379 jax A 1
80110 yw A 1
74526 yjul B 1
64232 mzvr C 1
77015 nh B 1
10571 n C 1
74503 x A 1
55565 glbk A 1
62460 vtfl B 1
24315 rt D 1
13286 q A 1
39903 uds B 1
91117 mjvs A 1
28594 om B 1
15226 bnht D 1
19125 dp C 1
15708 q B 1
61138 ufjd C 1
80054 brdf B 1
44739 zne B 1
13904 cnzd A 1
89732 m D 1
73539 oyvh B 1
48678 jquy A 1
59281 js C 1
14594 cq D 1
34079 fg D 1
75746 tgy B 1
64061 wpj A 1
75657 u D 1
22253 ercy C 1
48025 irz B 1
32475 wzz C 1
27207 kqi B 1
19534 duq B 1
73863 nr D 1
69541 xiul C 1
89255 uf B 1
98790 fnlv D 1
64779 sqht A 1
62465 gj A 1
38247 hyk B 1
1883 v D 1
65141 cwi D 1
58842 rgrp D 1
64638 eg B 1
31609 zge D 1
6323 el A 1
81290 fuen A 1
19951 eu C 1
96591 pp A 1
53952 kj B 1
9573 relw C 1
31650 e B 1
10817 yxq A 1
51997 b B 1
21656 a A 1
73364 itq B 1
26322 oa C 1
1330 e B 1
79666 kv C 1
80979 gqrq D 1
36183 maq A 1
37509 kmqi D 1
47621 kf B 1
67222 uax C 1
81422 azt A 1
27131 z B 1
90071 diyj A 1
17388 z D 1
29587 sye B 1
45263 v A 1
19620 pcx D 1
92844 brrn B 1
28655 ggz A 1
9312 dris A 1
33628 im D 1
69780 mqa C 1
40627 xy A 1
77502 vaa B 1
11820 kc A 1
91565 i D 1
27914 x A 1
89993 qow D 1
72477 c B 1
50714 a C 1
77938 ggm D 1
23117 jfw C 1
24832 e A 1
91139 phje B 1
24558 g D 1
27703 s A 1
1038 fryt A 1
56704 kvsi A 1
16725 bvy A 1
67855 hwr B 1
96333 d C 1
68287 itrc A 1
59063 ol A 1
68978 nmn A 1
66535 b D 1
91119 gi B 1
14292 ykd D 1
84418 qtti B 1
96369 zk B 1
96337 msor B 1
98241 gic A 1
80458 bzu B 1
5895 xlt D 1
91235 nirm B 1
62918 uw D 1
16601 lsdw D 1
19121 qmv B 1
74923 boc C 1
73869 ezp A 1
29143 lbx C 1
39857 ax C 1
40626 dwp A 1
87323 g C 1
51227 si D 1
36908 tqp B 1
94570 gpy A 1
31508 rgc B 1
88270 gkf A 1
36224 r D 1
43776 mkzz D 1
62992 oim A 1
49508 rspp B 1
60679 zoqk D 1
95878 c D 1
30805 tvo A 1
63516 vvmt D 1
50112 b D 1
94508 ony C 1
40342 tuhg A 1
11464 xn A 1
38241 b A 1
69632 h B 1
40158 qc D 1
11849 eaqr D 1
78108 yyb D 1
27633 wi B 1
28803 ovwk C 1
53161 hrai D 1
53273 af C 1
3439 ton D 1
10598 w D 1
29855 ccr B 1
24798 yl B 1
9361 ncg A 1
23730 fac B 1
35009 ytwg A 1
26853 n B 1
63909 dyqp B 1
55237 mvd B 1
15345 k D 1
29389 eeew B 1
51973 jk B 1
15990 bwh C 1
9400 bf A 1
20265 y D 1
1593 v A 1
37403 je A 1
21108 lza B 1
91113 rtfo D 1
61473 pesa B 1
74924 g D 1
55401 a D 1
32441 qt D 1
15157 gdi B 1
44561 mykl B 1
56146 v B 1
33138 ui C 1
43424 epqg A 1
63344 vg C 1
59733 nl A 1
84840 i D 1
23426 gja C 1
36809 zxes A 1
6099 b D 1
7373 mwd A 1
31398 gj B 1
26887 qy C 1
53609 rjdj D 1
38137 dei C 1
6682 v D 1
9580 pg B 1
36605 zhhr A 1
8521 xys A 1
31422 n B 1
26720 j D 1
47682 xge D 1
70367 a A 1
90951 wpx C 1
29885 wq B 1
69156 ta D 1
70467 ybd A 1
96062 wfur D 1
2947 hz B 1
81926 v D 1
3066 rjr B 1
39066 zt D 1
87501 piu B 1
27675 tk C 1
58506 vg C 1
7848 jwl D 1
53492 oivy A 1
6732 e C 1
62606 o C 1
97502 qo C 1
14026 nx A 1
30156 pa B 1
94555 ivmf B 1
41878 gtn B 1
55963 mcj A 1
28540 sn B 1
27681 runb A 1
57479 gjda A 1
99952 jclq B 1
14315 vb D 1
39093 poil D 1
96039 j B 1
40617 m C 1
52289 v C 1
99836 csq C 1
53014 vec A 1
63942 un A 1
8469 u B 1
11897 jeq A 1
43221 aq A 1
63074 gjz B 1
88317 oyv B 1
28745 lomo B 1
97373 nxqr A 1
31447 abn D 1
37023 hpuv C 1
66477 bt C 1
52737 cc C 1
83447 zsta D 1
24106 bxuf B 1
81724 ucpv C 1
67834 i C 1
7824 nj B 1
54469 t B 1
71328 v B 1
79533 s A 1
56421 a D 1
31400 xl A 1
10938 qfi C 1
79077 zbl B 1
38510 eevg D 1
14709 edf B 1
72928 v B 1
86768 nzoo A 1
92120 w C 1
56962 ywl A 1
65354 beus B 1
80752 tsas B 1
18411 i D 1
23661 r A 1
16668 eqv A 1
10933 rkdn C 1
26079 owan D 1
93913 kofq C 1
226 pf D 1
253 aze D 1
41555 sbow C 1
97289 qe B 1
59344 qlc C 1
57258 d C 1
81710 mszs A 1
62245 hcgs C 1
48253 rlc D 1
28469 ptw D 1
54689 v C 1
73604 vi D 1
35158 w A 1
5814 wuly C 1
92036 vlbl B 1
49762 zsbc A 1
999 ujl D 1
10687 l B 1
54169 r D 1
50634 iilg B 1
21457 cvn B 1
20399 tvpv A 1
71469 t A 1
93596 tx C 1
36143 vy D 1
72095 zfwr A 1
98625 uad A 1
8101 ol A 1
58072 j B 1
49195 d D 1
33418 esii B 1
77267 uano C 1
21206 kn A 1
73754 m C 1
79773 esby C 1
65417 t A 1
46002 qbt B 1
98336 jov D 1
7301 e B 1
61515 xdc C 1
23811 e C 1
75188 j B 1
14073 rm C 1
46966 tci B 1
43730 eks D 1
55550 ptj B 1
40259 t D 1
68008 xj A 1
39506 v B 1
68453 zxcu A 1
79159 ry D 1
62061 ajno C 1
55872 of D 1
52131 xfj C 1
15709 al D 1
6729 wv B 1
2281 gpdw D 1
11743 wrvy D 1
74163 chus B 1
1055 xs D 1
17261 xzio D 1
33836 yzz B 1
55374 o B 1
48460 g B 1
42033 gvrd C 1
9784 ct A 1
12249 hkip A 1
26594 d A 1
5428 cz A 1
71017 o C 1
28225 yjlu C 1
50400 gga D 1
29139 xyjt B 1
46995 bi C 1
53494 g A 1
