50 200 hhbo
45 o D 14
10 pqz B 20
26 nniw D 5
39 mt B 19
1 nma A 23
6 fjfd B 4
9 aql D 24
37 xcm B 12
25 hxqr A 2
13 gle D 3
22 mnc A 15
32 k A 8
42 vl A 3
3 z A 3
46 r D 16
11 pz D 4
23 pb D 20
49 of C 17
28 uryi D 2
47 iib D 16
2 nood A 15
19 de C 20
33 qoam A 8
18 zfjv C 3
5 zn A 8
31 ptj C 3
34 zl B 8
44 diij B 19
41 vc D 23
38 gw C 3
24 sh D 6
30 tpq C 23
17 ho C 14
7 muys A 25
36 mbr B 21
20 jg A 24
48 x D 10
40 ogok B 21
43 xkc D 15
8 vij B 25
35 hct B 13
14 w B 9
27 yf D 23
12 cwnp A 4
29 dx C 13
16 xlt D 7
15 fm D 1
21 bu A 11
0 o C 4
4 hhbo B 17
