100 1000 lgiu
0 t A 44
1 urj D 38
2 jt B 20
3 vosc B 6
4 koy D 9
5 gy B 40
6 c D 2
7 j A 27
8 lgiu A 39
9 ftk C 47
10 rlp C 32
11 qd D 8
12 iy B 20
13 y D 29
14 dxqb D 49
15 uohz C 22
16 ya D 37
17 lqt A 3
18 sdhb C 19
19 fee D 28
20 nl A 37
21 p B 47
22 damv D 5
23 upcv C 46
24 wzo B 21
25 wpf D 8
26 szq C 43
27 ziu A 44
28 kzw B 13
29 vtdm D 25
30 lai B 30
31 r C 12
32 ywb C 20
33 s A 2
34 qyok B 10
35 fp B 9
36 ue C 24
37 q A 7
38 ctjo A 19
39 ukv C 37
40 gm B 25
41 xjop C 23
42 fth D 5
43 yzqb A 32
44 o A 31
45 oomd A 50
46 whs D 25
47 ces C 45
48 fe C 11
49 fm B 23
50 h C 38
51 ltk B 33
52 xry A 9
53 tru D 45
54 q C 32
55 bg B 25
56 hgr D 34
57 v C 10
58 m C 9
59 qhy D 32
60 d D 25
61 cqk C 40
62 gud B 5
63 f C 31
64 odb D 8
65 iif C 2
66 v A 36
67 xy A 18
68 zjza B 43
69 so A 10
70 r D 26
71 mmkt A 8
72 gnb A 21
73 q A 12
74 egb A 5
75 m C 24
76 mch B 17
77 c A 6
78 v D 47
79 msn D 50
80 rx D 38
81 cuj B 19
82 pbdo C 4
83 vea D 11
84 z D 36
85 rug A 19
86 epdl A 26
87 ra B 26
88 zj B 48
89 p D 18
90 elud C 13
91 uem D 16
92 cj D 45
93 cdyu D 14
94 o B 20
95 ms D 25
96 yh B 42
97 sj C 44
98 uyi B 29
99 yc B 16
