100 100000 yc
100 t A 44
99 urj D 38
98 jt B 20
97 vosc B 6
96 koy D 9
95 gy B 40
94 c D 2
93 j A 27
92 lgiu A 39
91 ftk C 47
90 rlp C 32
89 qd D 8
88 iy B 20
87 y D 29
86 dxqb D 49
85 uohz C 22
84 ya D 37
83 lqt A 3
82 sdhb C 19
81 fee D 28
80 nl A 37
79 p B 47
78 damv D 5
77 upcv C 46
76 wzo B 21
75 wpf D 8
74 szq C 43
73 ziu A 44
72 kzw B 13
71 vtdm D 25
70 lai B 30
69 r C 12
68 ywb C 20
67 s A 2
66 qyok B 10
65 fp B 9
64 ue C 24
63 q A 7
62 ctjo A 19
61 ukv C 37
60 gm B 25
59 xjop C 23
58 fth D 5
57 yzqb A 32
56 o A 31
55 oomd A 50
54 whs D 25
53 ces C 45
52 fe C 11
51 fm B 23
50 h C 38
49 ltk B 33
48 xry A 9
47 tru D 45
46 q C 32
45 bg B 25
44 hgr D 34
43 v C 10
42 m C 9
41 qhy D 32
40 d D 25
39 cqk C 40
38 gud B 5
37 f C 31
36 odb D 8
35 iif C 2
34 v A 36
33 xy A 18
32 zjza B 43
31 so A 10
30 r D 26
29 mmkt A 8
28 gnb A 21
27 q A 12
26 egb A 5
25 m C 24
24 mch B 17
23 c A 6
22 v D 47
21 msn D 50
20 rx D 38
19 cuj B 19
18 pbdo C 4
17 vea D 11
16 z D 36
15 rug A 19
14 epdl A 26
13 ra B 26
12 zj B 48
11 p D 18
10 elud C 13
9 uem D 16
8 cj D 45
7 cdyu D 14
6 o B 20
5 ms D 25
4 yh B 42
3 sj C 44
2 uyi B 29
1 yc B 16
