10000 INGIND35 50
52390 16 INGIND35
52391 72 INF01
52392 55 MED18
52393 35 AGR03
52394 65 FIS01
52395 78 INF01
52396 99 MAT01
52397 65 BIO10
52398 26 IINF05
52399 58 MED18
52400 82 FIS01
52401 60 IINF05
52402 100 BIO10
52403 43 INGIND35
52404 18 MED18
52405 66 CHIM02
52406 96 MED18
52407 66 AGR03
52408 21 IINF04
52409 29 INF01
52410 54 CHIM02
52411 87 MAT01
52412 2 IINF04
52413 18 IINF05
52414 66 MAT01
52415 49 AGR03
52416 52 CHIM02
52417 58 AGR03
52418 95 AGR03
52419 79 MAT01
52420 34 AGR03
52421 86 FIS01
52422 68 CHIM02
52423 5 FIS01
52424 16 FIS01
52425 11 INGIND35
52426 50 AGR03
52427 65 BIO10
52428 60 MAT01
52429 22 MAT01
52430 28 FIS01
52431 80 AGR03
52432 13 MED18
52433 9 INGIND35
52434 93 FIS01
52435 56 FIS01
52436 3 IINF05
52437 83 AGR03
52438 63 AGR03
52439 29 MED18
52440 22 IINF04
52441 91 AGR03
52442 66 INF01
52443 17 INGIND35
52444 6 BIO10
52445 1 MED18
52446 48 FIS01
52447 40 IINF05
52448 77 IINF05
52449 7 FIS01
52450 71 MAT01
52451 72 FIS01
52452 61 INGIND35
52453 75 CHIM02
52454 26 IINF05
52455 68 CHIM02
52456 60 IINF04
52457 68 CHIM02
52458 68 INF01
52459 56 AGR03
52460 12 INGIND35
52461 32 MED18
52462 22 AGR03
52463 12 BIO10
52464 71 IINF05
52465 37 BIO10
52466 30 MED18
52467 84 IINF05
52468 80 IINF05
52469 94 FIS01
52470 44 IINF04
52471 60 AGR03
52472 77 MAT01
52473 49 IINF04
52474 27 AGR03
52475 45 IINF05
52476 12 CHIM02
52477 64 INGIND35
52478 18 MAT01
52479 12 CHIM02
52480 28 CHIM02
52481 53 AGR03
52482 64 MED18
52483 58 INGIND35
52484 71 CHIM02
52485 41 INGIND35
52486 24 CHIM02
52487 40 AGR03
52488 45 MED18
52489 30 IINF04
52490 17 INGIND35
52491 29 FIS01
52492 59 IINF05
52493 20 FIS01
52494 77 IINF05
52495 44 INGIND35
52496 69 IINF04
52497 93 INGIND35
52498 57 MAT01
52499 14 AGR03
52500 14 MED18
52501 46 INGIND35
52502 63 CHIM02
52503 64 MAT01
52504 25 INGIND35
52505 58 IINF05
52506 68 BIO10
52507 2 INGIND35
52508 96 MAT01
52509 75 MED18
52510 26 CHIM02
52511 29 IINF04
52512 84 MED18
52513 45 IINF04
52514 92 MAT01
52515 32 FIS01
52516 51 IINF05
52517 22 FIS01
52518 18 IINF05
52519 33 BIO10
52520 8 FIS01
52521 18 MED18
52522 54 INF01
52523 53 INGIND35
52524 31 IINF05
52525 99 INF01
52526 22 IINF04
52527 18 BIO10
52528 25 FIS01
52529 35 IINF04
52530 29 BIO10
52531 7 INF01
52532 20 CHIM02
52533 100 INGIND35
52534 5 INF01
52535 8 INGIND35
52536 29 INGIND35
52537 96 CHIM02
52538 78 BIO10
52539 89 INGIND35
52540 20 INGIND35
52541 87 CHIM02
52542 74 MED18
52543 60 INGIND35
52544 6 MAT01
52545 55 INF01
52546 54 BIO10
52547 36 INGIND35
52548 60 INF01
52549 76 AGR03
52550 81 MED18
52551 89 BIO10
52552 69 MED18
52553 49 MAT01
52554 21 INF01
52555 48 INF01
52556 29 MAT01
52557 66 MAT01
52558 89 IINF05
52559 19 INF01
52560 39 MAT01
52561 3 BIO10
52562 74 IINF05
52563 63 CHIM02
52564 39 BIO10
52565 14 BIO10
52566 93 INGIND35
52567 86 INF01
52568 63 BIO10
52569 21 MED18
52570 19 IINF05
52571 63 MAT01
52572 64 CHIM02
52573 62 INGIND35
52574 45 INGIND35
52575 37 INGIND35
52576 30 CHIM02
52577 82 INF01
52578 26 IINF04
52579 53 AGR03
52580 40 INGIND35
52581 8 MAT01
52582 62 CHIM02
52583 81 BIO10
52584 73 IINF04
52585 38 IINF05
52586 49 INGIND35
52587 23 CHIM02
52588 29 CHIM02
52589 74 MED18
52590 2 INF01
52591 39 CHIM02
52592 100 IINF04
52593 95 IINF04
52594 53 INGIND35
52595 15 IINF04
52596 86 CHIM02
52597 21 CHIM02
52598 54 AGR03
52599 48 FIS01
52600 2 INF01
52601 12 MAT01
52602 32 MED18
52603 32 INGIND35
52604 91 INGIND35
52605 65 INF01
52606 92 MED18
52607 17 INF01
52608 58 FIS01
52609 94 AGR03
52610 100 IINF05
52611 8 AGR03
52612 17 IINF04
52613 80 INGIND35
52614 62 AGR03
52615 80 IINF04
52616 13 INGIND35
52617 69 IINF05
52618 26 AGR03
52619 39 INGIND35
52620 34 IINF05
52621 12 MAT01
52622 42 IINF04
52623 90 FIS01
52624 25 MAT01
52625 90 IINF05
52626 88 INGIND35
52627 96 MED18
52628 10 BIO10
52629 14 INGIND35
52630 12 BIO10
52631 96 IINF05
52632 68 FIS01
52633 1 BIO10
52634 46 INGIND35
52635 69 INGIND35
52636 34 INF01
52637 21 MAT01
52638 7 CHIM02
52639 50 MED18
52640 30 MAT01
52641 70 INF01
52642 72 FIS01
52643 97 FIS01
52644 72 INF01
52645 49 IINF05
52646 43 IINF04
52647 7 AGR03
52648 55 INGIND35
52649 18 INF01
52650 26 INGIND35
52651 68 MAT01
52652 15 INGIND35
52653 27 INF01
52654 91 FIS01
52655 38 MED18
52656 89 IINF04
52657 8 IINF05
52658 54 INF01
52659 68 MED18
52660 80 FIS01
52661 34 IINF04
52662 78 CHIM02
52663 63 INF01
52664 95 IINF04
52665 70 BIO10
52666 26 BIO10
52667 34 INF01
52668 16 INF01
52669 14 FIS01
52670 7 BIO10
52671 81 IINF05
52672 22 AGR03
52673 57 IINF05
52674 22 CHIM02
52675 93 AGR03
52676 55 MED18
52677 79 FIS01
52678 31 MED18
52679 40 BIO10
52680 92 FIS01
52681 9 MED18
52682 11 CHIM02
52683 36 FIS01
52684 60 CHIM02
52685 27 CHIM02
52686 8 INGIND35
52687 95 IINF04
52688 54 FIS01
52689 31 BIO10
52690 17 IINF05
52691 67 MED18
52692 69 IINF05
52693 65 CHIM02
52694 100 INF01
52695 74 INF01
52696 65 MED18
52697 62 MAT01
52698 23 MAT01
52699 5 IINF05
52700 36 AGR03
52701 57 MED18
52702 41 CHIM02
52703 98 BIO10
52704 81 IINF05
52705 61 MAT01
52706 85 MAT01
52707 15 BIO10
52708 24 FIS01
52709 44 IINF04
52710 95 FIS01
52711 35 BIO10
52712 81 AGR03
52713 69 INGIND35
52714 12 INF01
52715 25 MED18
52716 68 AGR03
52717 28 MED18
52718 26 CHIM02
52719 24 MAT01
52720 73 INGIND35
52721 52 IINF04
52722 25 INGIND35
52723 28 CHIM02
52724 94 CHIM02
52725 51 FIS01
52726 69 INGIND35
52727 76 AGR03
52728 15 FIS01
52729 24 MAT01
52730 99 INGIND35
52731 41 CHIM02
52732 6 INGIND35
52733 22 INF01
52734 23 IINF04
52735 25 IINF04
52736 76 MAT01
52737 57 AGR03
52738 86 AGR03
52739 18 INF01
52740 54 MED18
52741 44 INF01
52742 100 MAT01
52743 96 FIS01
52744 58 MED18
52745 54 CHIM02
52746 14 INF01
52747 5 CHIM02
52748 67 INGIND35
52749 8 AGR03
52750 65 IINF04
52751 67 BIO10
52752 47 IINF04
52753 91 INF01
52754 92 INF01
52755 34 INF01
52756 6 IINF04
52757 85 INGIND35
52758 57 IINF05
52759 74 MED18
52760 67 FIS01
52761 77 MAT01
52762 36 IINF04
52763 82 MED18
52764 56 MED18
52765 89 MED18
52766 98 IINF04
52767 25 INF01
52768 64 BIO10
52769 1 CHIM02
52770 88 FIS01
52771 74 INGIND35
52772 95 BIO10
52773 73 MED18
52774 72 INF01
52775 61 AGR03
52776 100 MED18
52777 56 BIO10
52778 23 CHIM02
52779 48 CHIM02
52780 52 MED18
52781 53 FIS01
52782 11 AGR03
52783 91 IINF05
52784 36 MAT01
52785 40 MED18
52786 30 MED18
52787 15 INF01
52788 54 MED18
52789 5 FIS01
52790 99 AGR03
52791 76 BIO10
52792 66 INGIND35
52793 68 FIS01
52794 80 FIS01
52795 15 FIS01
52796 100 INF01
52797 49 MAT01
52798 11 CHIM02
52799 85 BIO10
52800 80 AGR03
52801 45 IINF05
52802 75 INGIND35
52803 32 MED18
52804 27 INGIND35
52805 52 FIS01
52806 26 FIS01
52807 59 BIO10
52808 25 BIO10
52809 79 IINF04
52810 7 FIS01
52811 61 INF01
52812 81 BIO10
52813 79 CHIM02
52814 96 FIS01
52815 28 FIS01
52816 61 FIS01
52817 21 CHIM02
52818 6 CHIM02
52819 22 IINF05
52820 55 MED18
52821 10 FIS01
52822 97 BIO10
52823 29 IINF05
52824 50 INGIND35
52825 94 INGIND35
52826 2 IINF04
52827 4 IINF04
52828 93 BIO10
52829 45 BIO10
52830 37 IINF05
52831 6 FIS01
52832 60 INGIND35
52833 19 MED18
52834 50 MED18
52835 20 FIS01
52836 9 MED18
52837 74 INF01
52838 44 FIS01
52839 47 BIO10
52840 19 AGR03
52841 20 CHIM02
52842 49 BIO10
52843 72 INGIND35
52844 11 CHIM02
52845 2 FIS01
52846 20 FIS01
52847 19 INGIND35
52848 86 IINF05
52849 66 AGR03
52850 7 MAT01
52851 39 BIO10
52852 86 IINF04
52853 82 INGIND35
52854 38 IINF05
52855 11 CHIM02
52856 94 AGR03
52857 93 CHIM02
52858 21 IINF04
52859 20 INGIND35
52860 39 AGR03
52861 82 MAT01
52862 48 IINF04
52863 12 CHIM02
52864 74 IINF05
52865 63 AGR03
52866 5 MAT01
52867 27 BIO10
52868 7 AGR03
52869 33 FIS01
52870 71 INGIND35
52871 39 AGR03
52872 26 CHIM02
52873 35 FIS01
52874 23 IINF05
52875 42 AGR03
52876 84 BIO10
52877 60 FIS01
52878 9 FIS01
52879 59 MED18
52880 43 INGIND35
52881 26 CHIM02
52882 8 CHIM02
52883 45 INF01
52884 58 IINF04
52885 27 IINF04
52886 46 IINF04
52887 44 INF01
52888 65 BIO10
52889 46 INGIND35
52890 99 CHIM02
52891 48 MAT01
52892 66 INGIND35
52893 68 MED18
52894 8 FIS01
52895 15 INGIND35
52896 57 BIO10
52897 95 IINF04
52898 43 IINF05
52899 89 INGIND35
52900 62 INGIND35
52901 6 IINF05
52902 94 BIO10
52903 57 MAT01
52904 12 INGIND35
52905 26 AGR03
52906 61 MAT01
52907 64 BIO10
52908 70 BIO10
52909 7 CHIM02
52910 36 INF01
52911 90 INGIND35
52912 36 CHIM02
52913 9 MAT01
52914 77 IINF04
52915 82 INF01
52916 53 INF01
52917 42 INGIND35
52918 88 MAT01
52919 82 MAT01
52920 40 MAT01
52921 29 FIS01
52922 21 IINF05
52923 33 CHIM02
52924 29 IINF04
52925 80 INF01
52926 11 MED18
52927 8 INGIND35
52928 35 IINF04
52929 64 INF01
52930 14 CHIM02
52931 90 AGR03
52932 54 IINF04
52933 71 BIO10
52934 21 BIO10
52935 70 IINF04
52936 80 INGIND35
52937 15 CHIM02
52938 59 CHIM02
52939 21 MAT01
52940 82 BIO10
52941 75 INGIND35
52942 29 MAT01
52943 46 FIS01
52944 7 INF01
52945 97 AGR03
52946 91 INGIND35
