9949 INF01 4
68296 34 CHIM02
68297 27 BIO10
68298 59 FIS01
68299 18 MED18
68300 36 INF01
68301 68 BIO10
68302 79 MAT01
68303 12 INF01
68304 64 INF01
68305 19 IINF04
68306 28 INGIND35
68307 83 BIO10
68308 30 MAT01
68309 70 BIO10
68310 21 FIS01
68311 81 IINF04
68312 68 AGR03
68313 88 FIS01
68314 33 AGR03
68315 94 IINF04
68316 84 IINF05
68317 78 INGIND35
68318 31 IINF04
68319 96 BIO10
68320 94 MAT01
68321 93 INF01
68322 47 IINF04
68323 96 IINF05
68324 17 MAT01
68325 3 MAT01
68326 16 IINF04
68327 11 MED18
68328 85 FIS01
68329 68 AGR03
68330 93 INGIND35
68331 92 IINF04
68332 17 FIS01
68333 9 INF01
68334 72 CHIM02
68335 28 AGR03
68336 24 AGR03
68337 95 FIS01
68338 77 MAT01
68339 92 INF01
68340 74 IINF04
68341 13 MED18
68342 45 MED18
68343 21 BIO10
68344 8 MAT01
68345 15 INF01
68346 51 IINF05
68347 38 FIS01
68348 56 INGIND35
68349 47 INF01
68350 20 IINF04
68351 63 IINF04
68352 46 INF01
68353 7 BIO10
68354 60 CHIM02
68355 29 CHIM02
68356 83 INF01
68357 95 MAT01
68358 56 CHIM02
68359 39 IINF05
68360 35 AGR03
68361 72 IINF05
68362 49 MED18
68363 83 MAT01
68364 100 BIO10
68365 82 IINF04
68366 19 INGIND35
68367 79 FIS01
68368 87 INF01
68369 62 MED18
68370 12 INGIND35
68371 89 BIO10
68372 45 MAT01
68373 6 IINF05
68374 6 INGIND35
68375 92 IINF04
68376 52 FIS01
68377 73 FIS01
68378 10 INF01
68379 67 INGIND35
68380 32 INF01
68381 40 INGIND35
68382 97 MED18
68383 23 INF01
68384 67 MAT01
68385 94 FIS01
68386 52 CHIM02
68387 41 BIO10
68388 55 INGIND35
68389 14 BIO10
68390 46 AGR03
68391 4 IINF05
68392 87 INF01
68393 98 MAT01
68394 91 BIO10
68395 83 BIO10
68396 45 INGIND35
68397 80 FIS01
68398 14 INGIND35
68399 42 CHIM02
68400 45 FIS01
68401 52 IINF05
68402 89 FIS01
68403 71 MED18
68404 87 INGIND35
68405 89 FIS01
68406 26 IINF05
68407 37 FIS01
68408 34 BIO10
68409 86 IINF04
68410 12 FIS01
68411 81 INF01
68412 23 MED18
68413 86 CHIM02
68414 12 FIS01
68415 71 BIO10
68416 13 BIO10
68417 59 IINF04
68418 68 IINF05
68419 90 CHIM02
68420 71 BIO10
68421 37 AGR03
68422 16 INF01
68423 7 INGIND35
68424 1 IINF05
68425 85 INF01
68426 76 AGR03
68427 68 AGR03
68428 9 BIO10
68429 79 MED18
68430 15 INF01
68431 13 MED18
68432 28 IINF04
68433 94 MAT01
68434 62 INF01
68435 41 INGIND35
68436 93 INGIND35
68437 37 MAT01
68438 50 IINF04
68439 65 FIS01
68440 15 BIO10
68441 76 INGIND35
68442 93 INF01
68443 70 MED18
68444 18 AGR03
68445 87 AGR03
68446 72 AGR03
68447 82 CHIM02
68448 13 FIS01
68449 67 MED18
68450 77 IINF05
68451 80 IINF05
68452 55 INGIND35
68453 80 AGR03
68454 6 INGIND35
68455 1 IINF05
68456 14 AGR03
68457 32 IINF04
68458 74 IINF04
68459 88 MED18
68460 48 IINF04
68461 12 MED18
68462 58 INGIND35
68463 6 BIO10
68464 14 CHIM02
68465 75 IINF04
68466 55 IINF05
68467 12 AGR03
68468 89 INGIND35
68469 97 MED18
68470 89 INGIND35
68471 90 BIO10
68472 13 INF01
68473 59 AGR03
68474 74 MED18
68475 27 IINF04
68476 67 IINF05
68477 41 FIS01
68478 77 IINF05
68479 50 MED18
68480 98 IINF04
68481 7 MED18
68482 94 CHIM02
68483 10 INF01
68484 92 MED18
68485 71 MED18
68486 7 AGR03
68487 27 INF01
68488 81 MAT01
68489 84 BIO10
68490 18 INF01
68491 95 INGIND35
68492 7 AGR03
68493 3 CHIM02
68494 55 AGR03
68495 50 CHIM02
68496 70 CHIM02
68497 69 CHIM02
68498 21 BIO10
68499 13 MED18
68500 27 IINF05
68501 79 BIO10
68502 24 BIO10
68503 100 INGIND35
68504 65 IINF04
68505 3 BIO10
68506 25 BIO10
68507 96 MAT01
68508 98 FIS01
68509 11 FIS01
68510 93 INF01
68511 87 FIS01
68512 54 MED18
68513 33 BIO10
68514 92 MAT01
68515 41 INGIND35
68516 25 MAT01
68517 3 MAT01
68518 5 MED18
68519 26 IINF04
68520 99 BIO10
68521 41 INF01
68522 83 INF01
68523 82 INF01
68524 72 MED18
68525 32 IINF04
68526 67 BIO10
68527 95 IINF05
68528 43 CHIM02
68529 91 FIS01
68530 36 INGIND35
68531 18 MED18
68532 47 CHIM02
68533 10 CHIM02
68534 19 INGIND35
68535 34 FIS01
68536 7 INGIND35
68537 87 AGR03
68538 70 MED18
68539 4 INF01
68540 95 CHIM02
68541 60 MED18
68542 17 MED18
68543 61 INF01
68544 93 MAT01
68545 44 INGIND35
68546 17 CHIM02
68547 94 INGIND35
68548 32 CHIM02
68549 52 CHIM02
68550 9 CHIM02
68551 33 CHIM02
68552 48 MAT01
68553 94 INF01
68554 58 IINF05
68555 9 AGR03
68556 1 CHIM02
68557 86 IINF04
68558 85 INGIND35
68559 30 IINF04
68560 85 BIO10
68561 60 CHIM02
