5801 CHIM02 0
61244 91 MED18
61245 81 MED18
61246 74 INGIND35
61247 80 IINF05
61248 71 IINF05
61249 91 MAT01
61250 11 MED18
61251 100 IINF04
61252 69 IINF04
61253 63 IINF05
61254 24 MED18
61255 49 FIS01
61256 95 INF01
61257 2 FIS01
61258 50 MED18
61259 32 MED18
61260 79 AGR03
61261 47 MAT01
61262 6 FIS01
61263 14 AGR03
61264 17 AGR03
61265 42 MED18
61266 66 FIS01
61267 100 CHIM02
61268 100 AGR03
61269 81 IINF04
61270 61 BIO10
61271 18 INF01
61272 6 MAT01
61273 55 INGIND35
61274 53 IINF04
61275 52 INGIND35
61276 11 MAT01
61277 35 INGIND35
61278 43 IINF04
61279 27 MAT01
61280 7 INGIND35
61281 9 BIO10
61282 64 BIO10
61283 56 IINF05
61284 6 MED18
61285 44 CHIM02
61286 83 MED18
61287 29 INF01
61288 36 BIO10
61289 35 AGR03
61290 44 INF01
61291 14 FIS01
61292 6 INF01
61293 51 CHIM02
61294 17 AGR03
61295 31 MAT01
61296 82 INGIND35
61297 3 INGIND35
61298 12 MED18
61299 74 FIS01
61300 21 AGR03
61301 7 BIO10
61302 60 INF01
61303 6 INF01
61304 28 AGR03
61305 6 FIS01
61306 30 IINF05
61307 18 CHIM02
61308 6 IINF05
61309 90 BIO10
61310 4 IINF05
61311 25 IINF04
61312 70 FIS01
61313 72 BIO10
61314 60 IINF04
61315 37 FIS01
61316 3 INGIND35
61317 99 IINF04
61318 62 INGIND35
61319 46 IINF04
61320 33 IINF05
61321 67 CHIM02
61322 1 MED18
61323 94 IINF04
61324 55 CHIM02
61325 14 MAT01
61326 16 IINF04
61327 48 FIS01
61328 21 MED18
61329 8 IINF05
61330 56 MED18
61331 29 MED18
61332 9 IINF05
61333 81 BIO10
61334 21 IINF05
61335 78 IINF04
61336 88 INGIND35
61337 76 MAT01
61338 65 CHIM02
61339 49 INGIND35
61340 51 AGR03
61341 77 FIS01
61342 55 MED18
61343 71 IINF05
61344 8 BIO10
61345 71 INF01
61346 86 MAT01
61347 35 BIO10
61348 38 INF01
61349 35 MED18
61350 65 AGR03
61351 93 MED18
61352 6 FIS01
61353 89 INGIND35
61354 85 INGIND35
61355 34 INF01
61356 80 INGIND35
61357 11 MAT01
61358 39 FIS01
61359 81 BIO10
61360 42 FIS01
61361 2 INGIND35
61362 97 BIO10
61363 42 FIS01
61364 60 CHIM02
61365 25 INGIND35
61366 83 IINF04
61367 62 MED18
61368 79 CHIM02
61369 87 INF01
61370 85 MAT01
61371 11 AGR03
61372 5 INGIND35
61373 39 MED18
61374 25 CHIM02
61375 9 MAT01
61376 98 FIS01
61377 88 AGR03
61378 78 INF01
61379 36 MED18
61380 83 IINF05
61381 93 INF01
61382 61 IINF05
61383 21 MAT01
61384 10 INF01
61385 16 BIO10
61386 88 BIO10
61387 40 IINF04
61388 62 FIS01
61389 24 IINF05
61390 33 CHIM02
61391 81 IINF04
61392 61 FIS01
61393 3 IINF04
61394 29 INGIND35
61395 68 BIO10
61396 62 INGIND35
61397 90 INF01
61398 72 MAT01
61399 40 FIS01
61400 6 AGR03
61401 27 MED18
61402 15 INGIND35
61403 12 BIO10
61404 2 MED18
61405 17 IINF05
61406 31 INGIND35
61407 24 INF01
61408 43 IINF05
61409 4 BIO10
61410 30 IINF05
61411 8 MED18
61412 73 IINF05
61413 69 MED18
61414 68 BIO10
61415 78 AGR03
61416 41 CHIM02
61417 68 AGR03
61418 74 MED18
61419 62 BIO10
61420 16 INF01
61421 8 BIO10
61422 4 FIS01
61423 18 INGIND35
61424 18 BIO10
61425 1 MAT01
61426 24 CHIM02
61427 58 CHIM02
61428 64 BIO10
61429 94 MAT01
61430 31 MED18
61431 22 FIS01
61432 20 AGR03
61433 14 BIO10
61434 60 CHIM02
61435 67 CHIM02
61436 88 MAT01
61437 29 IINF05
61438 22 MED18
61439 42 CHIM02
61440 97 MED18
61441 94 IINF04
61442 54 FIS01
61443 22 CHIM02
61444 87 MAT01
61445 87 CHIM02
61446 25 MED18
61447 76 CHIM02
61448 26 IINF04
61449 68 MAT01
61450 69 IINF04
61451 71 INGIND35
61452 15 IINF05
61453 76 IINF04
61454 79 MED18
61455 6 BIO10
61456 3 MED18
61457 84 INF01
61458 14 MAT01
61459 25 INF01
61460 26 MED18
61461 98 IINF04
61462 86 INGIND35
61463 24 INF01
61464 61 INF01
61465 68 CHIM02
61466 23 AGR03
61467 24 INF01
61468 42 IINF04
61469 19 MED18
61470 3 AGR03
61471 5 CHIM02
61472 33 BIO10
61473 19 FIS01
61474 60 INGIND35
61475 21 INF01
61476 99 FIS01
61477 91 FIS01
61478 8 INF01
61479 90 MAT01
61480 50 IINF05
61481 5 MED18
61482 35 MAT01
61483 16 IINF05
61484 33 FIS01
61485 50 IINF05
61486 95 BIO10
61487 20 INF01
61488 2 MAT01
61489 99 FIS01
61490 85 INF01
61491 53 CHIM02
61492 23 INF01
61493 64 CHIM02
61494 39 INF01
61495 79 INGIND35
61496 45 BIO10
61497 79 MAT01
61498 1 CHIM02
61499 96 MAT01
61500 77 IINF05
61501 19 AGR03
61502 88 IINF04
61503 72 MAT01
61504 88 INF01
61505 52 INF01
61506 83 MAT01
61507 69 FIS01
61508 70 BIO10
61509 46 CHIM02
61510 98 AGR03
61511 25 FIS01
61512 1 IINF04
61513 76 INF01
61514 100 AGR03
61515 29 BIO10
61516 16 MED18
61517 52 FIS01
61518 72 INGIND35
61519 46 AGR03
61520 93 CHIM02
61521 17 CHIM02
