6307 BIO10 2
25857 85 INF01
25858 42 IINF04
25859 69 IINF05
25860 16 IINF05
25861 62 MED18
25862 73 INF01
25863 36 AGR03
25864 80 CHIM02
25865 60 MAT01
25866 1 IINF05
25867 66 INF01
25868 87 IINF05
25869 50 CHIM02
25870 54 FIS01
25871 81 IINF05
25872 3 AGR03
25873 64 FIS01
25874 6 FIS01
25875 70 AGR03
25876 65 INF01
25877 18 CHIM02
25878 96 IINF04
25879 20 IINF04
25880 39 AGR03
25881 56 BIO10
25882 25 IINF05
25883 95 BIO10
25884 11 IINF05
25885 98 MAT01
25886 50 FIS01
25887 49 AGR03
25888 73 IINF05
25889 74 IINF05
25890 38 MAT01
25891 55 FIS01
25892 42 IINF05
25893 91 AGR03
25894 57 BIO10
25895 67 INGIND35
25896 11 IINF04
25897 93 INGIND35
25898 59 IINF05
25899 56 INGIND35
25900 98 CHIM02
25901 8 BIO10
25902 65 INGIND35
25903 24 INF01
25904 80 BIO10
25905 52 FIS01
25906 65 IINF04
25907 66 MED18
25908 69 IINF05
25909 39 AGR03
25910 51 MAT01
25911 40 IINF04
25912 64 IINF04
25913 36 MAT01
25914 85 IINF04
25915 13 INGIND35
25916 31 MAT01
25917 39 CHIM02
25918 65 MAT01
25919 76 MAT01
25920 42 IINF05
25921 31 MED18
25922 61 IINF05
25923 99 MED18
25924 41 MAT01
25925 90 INGIND35
25926 18 MED18
25927 29 MAT01
25928 31 MAT01
25929 23 INGIND35
25930 43 CHIM02
25931 15 INF01
25932 35 INGIND35
25933 97 MED18
25934 90 IINF04
25935 25 FIS01
25936 50 IINF05
25937 48 BIO10
25938 76 INGIND35
25939 49 MAT01
25940 5 FIS01
25941 50 IINF04
25942 90 BIO10
25943 34 FIS01
25944 73 FIS01
25945 66 IINF04
25946 37 MED18
25947 33 IINF05
25948 77 MAT01
25949 13 MAT01
25950 31 CHIM02
25951 56 BIO10
25952 83 INGIND35
25953 91 IINF04
25954 27 INGIND35
25955 96 CHIM02
25956 77 BIO10
25957 88 INGIND35
25958 85 INF01
25959 25 INF01
25960 78 INF01
25961 47 CHIM02
25962 41 BIO10
25963 70 INGIND35
25964 39 MED18
25965 54 AGR03
25966 50 IINF05
25967 33 FIS01
25968 100 AGR03
25969 79 INGIND35
25970 79 MED18
25971 5 MAT01
25972 34 BIO10
25973 36 INF01
25974 77 CHIM02
25975 23 IINF05
25976 32 BIO10
25977 65 CHIM02
25978 45 INF01
25979 61 CHIM02
25980 11 FIS01
25981 78 IINF05
25982 90 IINF05
25983 79 IINF04
25984 78 FIS01
25985 5 CHIM02
25986 52 AGR03
25987 3 CHIM02
25988 91 MAT01
25989 43 AGR03
25990 73 FIS01
25991 97 INF01
25992 93 IINF04
