8230 FIS01 8
43811 20 INF01
43812 78 BIO10
43813 52 INF01
43814 67 INF01
43815 70 MAT01
43816 85 IINF04
43817 36 FIS01
43818 16 CHIM02
43819 63 FIS01
43820 49 MED18
43821 21 BIO10
43822 58 INGIND35
43823 57 MAT01
43824 75 FIS01
43825 56 IINF05
43826 37 MAT01
43827 65 BIO10
43828 43 BIO10
43829 55 AGR03
43830 1 INF01
43831 55 CHIM02
43832 33 MED18
43833 26 IINF04
43834 77 MAT01
43835 21 MED18
43836 92 IINF05
43837 82 BIO10
43838 29 INGIND35
43839 15 AGR03
43840 14 MED18
43841 39 INGIND35
43842 6 BIO10
43843 26 AGR03
43844 77 INGIND35
43845 16 IINF04
43846 84 FIS01
43847 32 CHIM02
43848 32 INF01
43849 7 AGR03
43850 36 MED18
43851 61 INF01
43852 94 BIO10
43853 34 MED18
43854 3 FIS01
43855 23 MED18
43856 10 FIS01
43857 11 INF01
43858 47 IINF04
43859 51 CHIM02
43860 43 IINF05
43861 62 MAT01
43862 93 IINF04
43863 31 CHIM02
43864 2 CHIM02
43865 11 INF01
43866 24 MAT01
43867 6 MAT01
43868 61 AGR03
43869 71 AGR03
43870 93 MAT01
43871 63 INGIND35
43872 5 MED18
43873 13 MED18
43874 93 AGR03
43875 56 FIS01
43876 51 INF01
43877 71 INGIND35
43878 86 BIO10
43879 15 CHIM02
43880 41 BIO10
43881 97 FIS01
43882 16 CHIM02
43883 25 FIS01
43884 63 IINF05
43885 85 INF01
43886 71 MED18
43887 68 INGIND35
43888 92 INF01
43889 47 MAT01
43890 49 INGIND35
43891 74 INF01
43892 13 IINF04
43893 100 MED18
43894 83 INF01
43895 89 BIO10
43896 90 MED18
43897 16 INF01
43898 25 BIO10
43899 92 INGIND35
43900 27 AGR03
43901 44 FIS01
43902 41 MED18
43903 49 INF01
43904 54 MED18
43905 72 CHIM02
43906 36 CHIM02
43907 21 FIS01
43908 29 INGIND35
43909 5 IINF05
43910 85 INGIND35
43911 27 BIO10
43912 23 MAT01
43913 36 FIS01
43914 85 MAT01
43915 11 FIS01
43916 8 FIS01
43917 37 CHIM02
43918 1 IINF04
43919 88 AGR03
43920 34 IINF05
43921 49 IINF04
43922 34 INF01
43923 13 IINF05
43924 82 CHIM02
43925 62 BIO10
43926 5 AGR03
43927 55 MAT01
43928 12 MAT01
43929 11 INF01
43930 49 BIO10
43931 45 IINF04
43932 8 CHIM02
43933 29 AGR03
43934 22 IINF05
43935 9 MED18
43936 19 INF01
43937 73 MAT01
43938 11 BIO10
43939 45 BIO10
43940 6 CHIM02
43941 53 INGIND35
43942 8 MAT01
43943 72 MED18
43944 91 MAT01
43945 30 INGIND35
43946 52 AGR03
43947 20 CHIM02
43948 92 AGR03
43949 63 INF01
43950 47 MED18
43951 50 MAT01
43952 96 MAT01
