9322 IINF01 1
78249 6 CHIM02
78250 96 MED18
78251 59 CHIM02
78252 63 MED18
78253 25 CHIM02
78254 91 CHIM02
78255 60 INGIND35
78256 41 IINF05
78257 85 INF01
78258 72 MED18
78259 49 FIS01
78260 57 FIS01
78261 68 IINF05
78262 40 IINF05
78263 47 IINF04
78264 33 CHIM02
78265 38 IINF04
78266 1 INF01
78267 64 FIS01
78268 2 IINF05
78269 36 IINF04
78270 49 IINF04
78271 33 IINF05
78272 15 BIO10
78273 45 CHIM02
78274 29 IINF05
78275 50 IINF04
78276 76 CHIM02
78277 55 BIO10
78278 83 BIO10
78279 85 IINF05
78280 84 FIS01
78281 66 BIO10
78282 42 IINF04
78283 45 INF01
78284 37 IINF05
78285 75 AGR03
78286 56 INGIND35
78287 79 IINF04
78288 68 FIS01
78289 1 IINF05
78290 87 MAT01
78291 47 INF01
78292 35 IINF05
78293 63 CHIM02
78294 20 BIO10
78295 60 BIO10
78296 98 MAT01
78297 21 MED18
78298 77 BIO10
78299 49 IINF04
78300 22 IINF04
78301 96 CHIM02
78302 21 BIO10
78303 91 IINF05
78304 77 IINF05
78305 87 IINF05
78306 17 IINF05
78307 49 FIS01
78308 15 FIS01
78309 80 IINF05
78310 17 MED18
78311 61 IINF04
78312 13 MED18
78313 4 INGIND35
78314 37 CHIM02
78315 74 MAT01
78316 84 IINF04
78317 28 AGR03
78318 78 MED18
78319 51 MED18
78320 36 INF01
78321 24 MED18
78322 69 IINF05
78323 86 FIS01
78324 28 MED18
78325 73 INF01
78326 2 MED18
78327 64 IINF05
78328 96 IINF05
78329 68 IINF05
78330 43 IINF04
78331 29 AGR03
78332 21 MED18
78333 77 IINF04
78334 45 MAT01
78335 39 IINF05
78336 55 AGR03
78337 74 INF01
78338 67 MAT01
78339 82 FIS01
78340 61 CHIM02
78341 54 BIO10
78342 43 FIS01
78343 83 INF01
78344 97 INGIND35
78345 67 BIO10
78346 30 AGR03
78347 64 BIO10
78348 94 FIS01
78349 23 BIO10
78350 67 FIS01
78351 93 MED18
78352 40 INGIND35
78353 100 IINF04
78354 65 IINF05
78355 49 IINF04
78356 79 AGR03
78357 86 IINF05
78358 26 MAT01
78359 88 IINF05
78360 99 CHIM02
78361 1 INGIND35
78362 77 FIS01
78363 89 INF01
78364 9 BIO10
78365 73 IINF04
78366 14 INF01
78367 29 AGR03
78368 67 MED18
78369 38 AGR03
78370 78 FIS01
78371 99 FIS01
78372 47 MAT01
78373 66 MAT01
