500 AGR03 20
87219 18 AGR03
87220 69 INF01
87221 35 CHIM02
87222 83 MAT01
87223 28 INGIND35
87224 71 BIO10
87225 100 INF01
87226 22 IINF04
87227 89 INF01
87228 38 MAT01
87229 6 INGIND35
87230 68 INGIND35
87231 34 AGR03
87232 30 IINF04
87233 14 FIS01
87234 38 FIS01
87235 16 BIO10
87236 89 INGIND35
87237 73 MAT01
87238 43 MED18
87239 100 IINF05
87240 62 IINF04
87241 49 CHIM02
87242 55 AGR03
87243 69 MED18
87244 62 MAT01
87245 62 BIO10
87246 2 IINF05
87247 56 INGIND35
87248 70 MED18
87249 13 INGIND35
87250 25 FIS01
87251 80 FIS01
87252 23 MAT01
87253 97 INF01
87254 8 INGIND35
87255 31 MAT01
87256 39 CHIM02
87257 36 CHIM02
87258 59 FIS01
87259 94 FIS01
87260 47 CHIM02
87261 100 INF01
87262 35 IINF04
87263 66 AGR03
87264 79 CHIM02
87265 37 IINF04
87266 16 IINF05
87267 50 INF01
87268 4 MED18
87269 81 MED18
87270 64 INF01
87271 18 IINF05
87272 74 BIO10
87273 93 IINF04
87274 41 MED18
87275 24 FIS01
87276 32 MED18
87277 61 CHIM02
87278 38 IINF05
87279 11 FIS01
87280 70 FIS01
87281 27 IINF05
87282 30 IINF04
87283 31 INGIND35
87284 18 INF01
87285 37 FIS01
87286 9 AGR03
87287 57 IINF04
87288 38 CHIM02
87289 71 FIS01
87290 19 IINF04
87291 64 CHIM02
87292 35 BIO10
87293 12 CHIM02
87294 32 MAT01
87295 14 AGR03
87296 72 FIS01
87297 56 INGIND35
87298 66 BIO10
87299 13 MED18
87300 33 INGIND35
87301 79 INF01
87302 72 CHIM02
87303 20 INF01
87304 20 FIS01
87305 46 MAT01
87306 58 CHIM02
87307 66 FIS01
87308 48 CHIM02
87309 52 MED18
87310 79 INGIND35
87311 31 INF01
87312 22 IINF04
87313 4 MED18
87314 28 INGIND35
87315 97 INF01
87316 62 IINF04
87317 99 MED18
87318 60 FIS01
87319 24 MED18
87320 81 BIO10
87321 96 FIS01
87322 67 INGIND35
87323 43 MED18
87324 29 MED18
87325 35 FIS01
87326 54 INF01
87327 41 INF01
87328 99 INF01
87329 5 AGR03
87330 6 FIS01
87331 68 IINF04
87332 52 MED18
87333 90 IINF04
87334 16 INGIND35
87335 39 MAT01
87336 9 MAT01
87337 88 INGIND35
87338 97 MED18
87339 86 INGIND35
87340 24 INF01
87341 12 IINF04
87342 22 AGR03
87343 6 IINF04
87344 16 FIS01
87345 67 BIO10
87346 27 AGR03
87347 11 IINF05
87348 42 INF01
87349 29 INGIND35
87350 33 INF01
87351 91 BIO10
87352 25 IINF04
87353 50 MED18
87354 14 IINF04
87355 37 INGIND35
87356 67 INGIND35
87357 16 INGIND35
87358 81 CHIM02
87359 86 MED18
87360 83 FIS01
87361 52 AGR03
87362 31 IINF04
87363 88 INGIND35
87364 78 FIS01
87365 64 IINF04
87366 92 CHIM02
87367 12 IINF05
87368 17 MED18
87369 27 AGR03
87370 50 CHIM02
87371 30 CHIM02
87372 28 AGR03
87373 12 INF01
87374 26 CHIM02
87375 66 FIS01
87376 6 MED18
87377 49 IINF05
87378 50 IINF04
87379 75 IINF04
87380 76 IINF05
87381 39 INGIND35
87382 76 INGIND35
87383 10 MAT01
87384 27 FIS01
87385 90 AGR03
87386 85 FIS01
87387 64 AGR03
87388 90 MED18
87389 52 IINF04
87390 57 IINF05
87391 18 MED18
87392 35 INF01
87393 48 INGIND35
87394 11 MAT01
87395 36 FIS01
87396 7 BIO10
87397 19 FIS01
87398 13 CHIM02
87399 57 MAT01
87400 76 IINF05
87401 42 MAT01
87402 73 BIO10
87403 1 CHIM02
87404 2 BIO10
87405 37 INGIND35
87406 89 CHIM02
87407 46 CHIM02
87408 64 INGIND35
87409 37 AGR03
87410 92 MED18
87411 3 MED18
87412 95 CHIM02
87413 59 BIO10
87414 35 INF01
87415 51 FIS01
87416 30 IINF04
87417 85 IINF05
87418 17 IINF04
87419 43 CHIM02
87420 56 INF01
87421 74 FIS01
87422 81 IINF05
87423 85 IINF04
87424 59 MAT01
87425 2 CHIM02
87426 25 IINF05
87427 30 MAT01
87428 26 IINF04
87429 61 BIO10
87430 8 AGR03
87431 44 BIO10
87432 59 MAT01
87433 26 BIO10
87434 8 BIO10
87435 72 AGR03
87436 62 MAT01
87437 35 INF01
87438 97 BIO10
87439 33 CHIM02
87440 71 MED18
87441 14 AGR03
87442 5 MAT01
87443 20 MED18
87444 38 BIO10
87445 39 BIO10
87446 19 IINF04
87447 20 IINF04
87448 31 CHIM02
87449 80 FIS01
87450 55 MAT01
87451 55 CHIM02
87452 72 INF01
87453 26 MED18
87454 55 AGR03
87455 52 IINF05
87456 63 FIS01
87457 10 CHIM02
87458 77 FIS01
87459 94 IINF04
87460 67 IINF05
87461 67 INF01
87462 22 CHIM02
87463 21 INF01
87464 79 MAT01
87465 29 AGR03
87466 44 IINF05
87467 81 INF01
87468 77 MED18
87469 8 IINF04
87470 39 MAT01
87471 69 FIS01
87472 8 BIO10
87473 78 IINF04
87474 10 BIO10
87475 32 AGR03
87476 23 CHIM02
87477 30 FIS01
87478 19 IINF04
87479 3 INF01
87480 27 BIO10
87481 71 FIS01
87482 69 MED18
87483 23 FIS01
87484 81 MAT01
87485 28 AGR03
87486 20 INF01
87487 39 MAT01
87488 98 IINF04
87489 9 IINF05
87490 97 FIS01
87491 27 IINF04
87492 26 INF01
87493 81 FIS01
87494 2 MED18
87495 49 BIO10
87496 83 MED18
87497 45 CHIM02
87498 45 BIO10
87499 15 INF01
87500 8 CHIM02
87501 84 CHIM02
87502 75 MAT01
87503 36 CHIM02
87504 35 INGIND35
87505 18 IINF04
87506 19 FIS01
87507 58 AGR03
87508 49 INF01
87509 89 FIS01
87510 11 FIS01
87511 96 INF01
87512 11 MED18
87513 76 INF01
87514 39 IINF05
87515 36 BIO10
87516 51 IINF05
87517 99 IINF05
87518 92 IINF04
87519 98 IINF04
87520 93 IINF04
87521 54 INF01
87522 75 IINF05
87523 11 IINF05
87524 59 AGR03
87525 21 INGIND35
87526 81 MED18
87527 10 INF01
87528 34 MED18
87529 38 BIO10
87530 22 BIO10
87531 73 IINF04
87532 95 AGR03
87533 30 IINF04
87534 56 IINF04
87535 32 IINF04
87536 38 IINF04
87537 75 INGIND35
87538 12 BIO10
87539 70 MED18
87540 14 MED18
87541 33 AGR03
87542 99 FIS01
87543 23 IINF04
87544 87 MED18
87545 100 INGIND35
87546 13 MAT01
87547 44 BIO10
87548 62 MAT01
87549 66 MED18
87550 85 CHIM02
87551 43 FIS01
87552 64 INF01
87553 61 MAT01
87554 100 BIO10
87555 8 INF01
87556 96 BIO10
87557 31 MAT01
87558 93 BIO10
87559 82 MAT01
87560 17 INF01
87561 84 AGR03
87562 7 IINF04
87563 79 MAT01
87564 60 CHIM02
87565 99 IINF04
87566 41 INF01
87567 90 INF01
87568 37 INGIND35
87569 62 MAT01
87570 9 CHIM02
87571 65 IINF05
87572 91 CHIM02
87573 88 INF01
87574 75 IINF04
87575 50 INGIND35
87576 44 MED18
87577 11 INF01
87578 2 BIO10
87579 91 IINF05
87580 85 CHIM02
87581 69 INF01
87582 35 INF01
87583 13 INGIND35
87584 76 BIO10
87585 58 IINF05
87586 26 IINF04
87587 10 INF01
87588 21 INGIND35
87589 85 CHIM02
87590 42 MAT01
87591 100 CHIM02
87592 12 CHIM02
87593 67 MAT01
87594 19 MAT01
87595 72 IINF04
87596 70 MED18
87597 85 MED18
87598 75 MAT01
87599 75 BIO10
87600 84 INGIND35
87601 96 FIS01
87602 91 IINF04
87603 61 FIS01
87604 6 INF01
87605 26 MED18
87606 54 INGIND35
87607 43 INF01
87608 62 IINF04
87609 3 IINF05
87610 92 INGIND35
87611 58 AGR03
87612 6 MED18
87613 27 INF01
87614 31 MED18
87615 77 IINF04
87616 75 MED18
87617 41 BIO10
87618 43 IINF04
87619 52 FIS01
87620 26 FIS01
87621 78 IINF05
87622 91 BIO10
87623 56 MAT01
87624 74 INGIND35
87625 25 MAT01
87626 43 CHIM02
87627 18 BIO10
87628 60 MAT01
87629 95 MAT01
87630 54 AGR03
87631 68 FIS01
87632 99 CHIM02
87633 98 FIS01
87634 15 INGIND35
87635 63 AGR03
87636 8 FIS01
87637 85 IINF05
87638 2 IINF04
87639 30 CHIM02
87640 32 INF01
87641 60 FIS01
87642 77 INGIND35
87643 28 IINF05
87644 16 IINF05
87645 41 CHIM02
87646 85 MED18
87647 84 CHIM02
87648 95 AGR03
87649 25 MAT01
87650 62 FIS01
87651 90 IINF04
87652 9 MED18
87653 70 IINF04
87654 12 IINF04
87655 70 MED18
87656 25 INF01
87657 3 INF01
87658 83 FIS01
87659 46 INGIND35
87660 2 MAT01
87661 98 MED18
87662 62 IINF04
87663 86 IINF04
87664 57 FIS01
87665 55 FIS01
87666 6 INF01
87667 3 BIO10
87668 2 INGIND35
87669 61 AGR03
87670 37 FIS01
87671 66 MAT01
87672 80 IINF05
87673 9 AGR03
87674 58 BIO10
87675 72 BIO10
87676 26 BIO10
87677 48 CHIM02
87678 43 IINF05
87679 58 BIO10
87680 2 BIO10
87681 43 CHIM02
87682 27 CHIM02
87683 17 AGR03
87684 68 INF01
87685 64 FIS01
87686 17 INF01
87687 55 INGIND35
87688 78 IINF05
87689 4 INF01
87690 20 IINF05
87691 25 FIS01
87692 55 CHIM02
87693 6 MED18
87694 64 CHIM02
87695 59 MAT01
87696 27 BIO10
87697 43 INF01
87698 70 INF01
87699 64 IINF05
87700 63 IINF05
87701 97 FIS01
87702 26 MED18
87703 25 IINF04
87704 41 AGR03
87705 69 INGIND35
87706 25 CHIM02
87707 20 BIO10
87708 100 INF01
87709 16 BIO10
87710 63 IINF05
87711 88 IINF04
87712 99 CHIM02
87713 38 IINF04
87714 79 FIS01
87715 40 BIO10
87716 79 IINF04
87717 6 IINF04
87718 78 IINF05
