1000 MED18 15
13685 9 INF01
13686 1 CHIM02
13687 56 MED18
13688 81 INGIND35
13689 85 INF01
13690 13 INF01
13691 33 CHIM02
13692 12 IINF05
13693 1 MED18
13694 72 AGR03
13695 97 BIO10
13696 59 FIS01
13697 44 AGR03
13698 19 INF01
13699 56 IINF05
13700 30 INF01
13701 60 INF01
13702 62 MED18
13703 87 INF01
13704 65 BIO10
13705 41 IINF05
13706 85 MED18
13707 24 INGIND35
13708 7 MAT01
13709 10 IINF04
13710 67 BIO10
13711 65 MAT01
13712 44 INGIND35
13713 12 FIS01
13714 26 INF01
13715 94 FIS01
13716 7 MAT01
13717 2 INGIND35
13718 1 IINF04
13719 77 IINF04
13720 53 IINF04
13721 84 CHIM02
13722 76 MAT01
13723 66 MAT01
13724 54 IINF04
13725 96 MAT01
13726 55 AGR03
13727 17 INF01
13728 55 INF01
13729 36 IINF04
13730 86 MAT01
13731 63 INGIND35
13732 34 IINF04
13733 82 MED18
13734 98 MAT01
13735 75 MED18
13736 83 BIO10
13737 87 MED18
13738 33 IINF04
13739 89 AGR03
13740 82 INGIND35
13741 94 CHIM02
13742 97 FIS01
13743 77 INGIND35
13744 17 CHIM02
13745 80 MED18
13746 89 IINF04
13747 100 AGR03
13748 10 AGR03
13749 86 AGR03
13750 42 AGR03
13751 7 BIO10
13752 46 INGIND35
13753 64 AGR03
13754 53 FIS01
13755 12 IINF05
13756 58 MAT01
13757 29 AGR03
13758 29 CHIM02
13759 87 IINF04
13760 95 MAT01
13761 76 INF01
13762 11 FIS01
13763 73 AGR03
13764 31 MAT01
13765 22 INGIND35
13766 44 CHIM02
13767 94 FIS01
13768 33 AGR03
13769 30 CHIM02
13770 47 AGR03
13771 12 IINF04
13772 15 IINF05
13773 58 AGR03
13774 33 INF01
13775 89 FIS01
13776 89 INF01
13777 82 INGIND35
13778 41 FIS01
13779 88 INF01
13780 42 FIS01
13781 54 MAT01
13782 41 FIS01
13783 73 IINF05
13784 28 INGIND35
13785 66 INGIND35
13786 27 INGIND35
13787 63 IINF04
13788 28 INGIND35
13789 68 IINF05
13790 9 CHIM02
13791 62 MAT01
13792 46 BIO10
13793 40 INGIND35
13794 34 INF01
13795 61 AGR03
13796 82 MAT01
13797 26 IINF05
13798 25 MED18
13799 54 AGR03
13800 37 FIS01
13801 44 FIS01
13802 14 CHIM02
13803 48 MAT01
13804 83 INGIND35
13805 73 BIO10
13806 16 BIO10
13807 32 IINF05
13808 19 INF01
13809 18 CHIM02
13810 16 AGR03
13811 16 BIO10
13812 76 INGIND35
13813 91 INF01
13814 33 FIS01
13815 92 FIS01
13816 45 IINF05
13817 59 MED18
13818 85 FIS01
13819 88 INGIND35
13820 26 MAT01
13821 35 MAT01
13822 71 AGR03
13823 12 AGR03
13824 34 MAT01
13825 54 INGIND35
13826 17 MAT01
13827 60 INF01
13828 88 MED18
13829 47 IINF04
13830 10 BIO10
13831 31 IINF04
13832 31 INGIND35
13833 57 INGIND35
13834 51 IINF05
13835 48 CHIM02
13836 88 AGR03
13837 2 MED18
13838 8 INF01
13839 94 INF01
13840 40 IINF04
13841 95 AGR03
13842 9 MAT01
13843 82 CHIM02
13844 100 INF01
13845 75 MAT01
13846 75 INGIND35
13847 74 INGIND35
13848 87 MED18
13849 79 CHIM02
13850 31 INGIND35
13851 48 INF01
13852 55 MAT01
13853 89 INGIND35
13854 80 FIS01
13855 86 FIS01
13856 80 IINF04
13857 7 IINF05
13858 84 IINF04
13859 15 CHIM02
13860 1 IINF04
13861 42 IINF04
13862 64 CHIM02
13863 17 BIO10
13864 50 INGIND35
13865 88 MED18
13866 16 IINF04
13867 40 FIS01
