1517 1257
485 38 0
207 18 1
581 11 6
1218 12 8
881 33 7
222 41 6
392 27 9
1209 36 5
195 2 8
893 40 3
334 45 4
1432 13 9
1239 8 8
1396 31 3
1220 8 4
395 3 6
1229 5 3
1479 9 9
657 46 4
797 24 3
575 48 4
878 2 3
63 38 7
920 14 10
143 1 8
500 1 7
1461 20 7
1291 43 7
929 20 7
705 48 7
1000 9 6
724 15 0
39 46 10
1463 3 10
1152 30 0
213 38 8
860 22 3
1418 45 6
664 25 4
890 8 0
1006 27 8
990 14 2
450 41 7
974 41 7
1238 22 7
489 38 8
653 37 3
1264 45 6
1368 50 3
1330 34 2
261 17 1
1247 16 0
158 29 6
694 4 8
1392 44 7
639 47 9
511 45 4
532 41 4
268 4 10
1187 25 5
845 2 6
428 28 6
341 48 7
76 17 5
1231 14 7
513 17 5
654 17 1
1214 50 9
864 42 4
353 29 0
1199 39 1
367 10 8
1202 27 2
1260 33 3
1278 39 8
62 25 7
123 16 8
44 41 9
669 1 5
1198 31 4
595 32 1
1098 22 1
1462 8 10
117 47 7
226 46 2
673 30 4
798 26 6
488 12 9
1154 3 7
1434 0 2
40 15 0
873 15 5
1513 7 3
735 14 5
1504 29 3
1413 14 3
601 41 5
1136 42 10
193 45 4
1391 41 5
853 42 10
242 34 0
440 37 0
1180 34 7
1174 30 6
856 32 0
738 41 5
1476 29 4
168 35 6
562 16 2
683 42 1
1426 33 10
110 24 1
1505 12 4
889 37 5
23 33 5
794 43 6
159 16 3
1193 48 1
747 6 2
457 42 6
1253 25 10
898 30 8
945 3 5
1230 41 8
1121 19 1
849 36 8
1210 13 5
773 5 0
129 5 1
787 43 1
281 33 6
303 12 0
1070 19 2
692 45 0
1492 24 5
1161 24 1
750 47 7
5 5 2
1349 28 3
1211 10 7
1100 40 2
456 49 7
699 31 10
891 7 3
96 8 9
1103 35 1
1383 23 9
162 37 6
660 43 9
607 6 10
302 16 1
49 37 7
1444 44 7
22 43 0
743 3 7
780 35 9
863 17 1
700 13 6
150 5 9
209 38 5
210 31 8
508 8 7
1036 10 0
217 14 5
